Profile 1;Profile 1;
[m];[m];
0;-4.7461526e-09;
1.9459246e-07;-6.4276837e-09;
3.8918493e-07;-1.3661333e-08;
5.8377739e-07;-3.3954932e-08;
7.7836986e-07;-5.7054372e-08;
9.7296232e-07;-7.9339925e-08;
1.1675548e-06;-9.3944259e-08;
1.3621473e-06;-9.8271327e-08;
1.5567397e-06;-9.8615826e-08;
1.7513322e-06;-9.837174e-08;
1.9459246e-06;-9.8561e-08;
2.1405171e-06;-9.8161486e-08;
2.3351096e-06;-9.674709e-08;
2.529702e-06;-9.598236e-08;
2.7242945e-06;-9.5391618e-08;
2.918887e-06;-9.3516312e-08;
3.1134794e-06;-9.0909546e-08;
3.3080719e-06;-9.0781862e-08;
3.5026644e-06;-9.1595018e-08;
3.6972568e-06;-9.1541896e-08;
3.8918493e-06;-9.3449306e-08;
4.0864418e-06;-9.2926553e-08;
4.2810342e-06;-9.1253216e-08;
4.4756267e-06;-9.0436277e-08;
4.6702192e-06;-9.0324028e-08;
4.8648116e-06;-7.5237982e-08;
5.0594041e-06;-3.3005331e-08;
5.2539965e-06;1.3945944e-09;
5.448589e-06;9.3170948e-09;
5.6431815e-06;4.2811067e-09;
5.8377739e-06;1.0160249e-09;
6.0323664e-06;-1.0537923e-09;
6.2269589e-06;-1.7490755e-09;
6.4215513e-06;-2.2306242e-09;
6.6161438e-06;-1.8608955e-09;
6.8107363e-06;-2.9165851e-09;
7.0053287e-06;-3.013692e-09;
7.1999212e-06;-3.0260451e-09;
7.3945137e-06;-3.8846357e-09;
7.5891061e-06;-3.7951065e-09;
7.7836986e-06;-3.468228e-09;
7.9782911e-06;-3.0722371e-09;
8.1728835e-06;-2.8933389e-09;
8.367476e-06;-2.4022352e-09;
8.5620684e-06;-3.1285424e-09;
8.7566609e-06;-3.5138948e-09;
8.9512534e-06;-4.0253769e-09;
9.1458458e-06;-5.4912998e-09;
9.3404383e-06;-2.1747089e-08;
9.5350308e-06;-4.2424839e-08;
9.7296232e-06;-6.4102853e-08;
9.9242157e-06;-8.470179e-08;
1.0118808e-05;-9.326908e-08;
1.0313401e-05;-9.4003559e-08;
1.0507993e-05;-9.4374328e-08;
1.0702586e-05;-9.4340286e-08;
1.0897178e-05;-9.3091491e-08;
1.109177e-05;-9.2369061e-08;
1.1286363e-05;-9.3197687e-08;
1.1480955e-05;-9.1925333e-08;
1.1675548e-05;-9.177432e-08;
1.187014e-05;-9.1306919e-08;
1.2064733e-05;-9.0320294e-08;
1.2259325e-05;-9.1763026e-08;
1.2453918e-05;-9.2001187e-08;
1.264851e-05;-9.1248365e-08;
1.2843103e-05;-9.2827079e-08;
1.3037695e-05;-9.2975064e-08;
1.3232288e-05;-9.2160233e-08;
1.342688e-05;-9.2238958e-08;
1.3621473e-05;-8.1512668e-08;
1.3816065e-05;-4.467877e-08;
1.4010657e-05;-3.0068351e-09;
1.420525e-05;9.4695279e-09;
1.4399842e-05;-7.2334999e-10;
1.4594435e-05;-2.1574021e-09;
1.4789027e-05;-2.9446291e-09;
