Profile 1;Profile 1;
[m];[m];
0;-1.9550694e-09;
1.9406018e-07;-2.1894896e-09;
3.8812036e-07;-2.7489788e-09;
5.8218054e-07;-4.4089858e-09;
7.7624072e-07;-4.0447342e-08;
9.703009e-07;-9.1094494e-08;
1.1643611e-06;-9.4655091e-08;
1.3584213e-06;-9.3149286e-08;
1.5524814e-06;-9.2222833e-08;
1.7465416e-06;-9.1767139e-08;
1.9406018e-06;-9.1620609e-08;
2.134662e-06;-9.1561909e-08;
2.3287222e-06;-9.2272045e-08;
2.5227823e-06;-9.2902739e-08;
2.7168425e-06;-9.2442315e-08;
2.9109027e-06;-9.1702017e-08;
3.1049629e-06;-9.1751235e-08;
3.2990231e-06;-9.2136985e-08;
3.4930832e-06;-9.2198368e-08;
3.6871434e-06;-9.2344164e-08;
3.8812036e-06;-9.1649052e-08;
4.0752638e-06;-9.079104e-08;
4.269324e-06;-9.0563942e-08;
4.4633841e-06;-9.0658549e-08;
4.6574443e-06;-9.0650612e-08;
4.8515045e-06;-9.0469012e-08;
5.0455647e-06;-8.531959e-08;
5.2396249e-06;-3.273814e-08;
5.433685e-06;1.888148e-09;
5.6277452e-06;1.9513058e-09;
5.8218054e-06;-2.6364143e-10;
6.0158656e-06;-3.5225991e-10;
6.2099258e-06;-1.5216608e-09;
6.4039859e-06;-2.0380316e-09;
6.5980461e-06;-1.9314207e-09;
6.7921063e-06;-1.7623563e-09;
6.9861665e-06;-1.2662604e-09;
7.1802267e-06;-7.0254866e-10;
7.3742868e-06;5.2039403e-11;
7.568347e-06;4.90428e-10;
7.7624072e-06;6.4301996e-10;
7.9564674e-06;9.7434233e-10;
8.1505276e-06;1.0961072e-09;
8.3445877e-06;9.3562819e-10;
8.5386479e-06;5.6444225e-10;
8.7327081e-06;7.5285205e-10;
8.9267683e-06;1.3562358e-09;
9.1208285e-06;1.7644221e-09;
9.3148886e-06;1.9521314e-09;
9.5089488e-06;-2.7637055e-09;
9.703009e-06;-5.1364789e-08;
9.8970692e-06;-8.8282857e-08;
1.0091129e-05;-9.0686359e-08;
1.028519e-05;-8.9673762e-08;
1.047925e-05;-8.9409383e-08;
1.067331e-05;-8.9496504e-08;
1.086737e-05;-8.9488842e-08;
1.106143e-05;-8.926535e-08;
1.125549e-05;-8.8812324e-08;
1.1449551e-05;-8.8361908e-08;
1.1643611e-05;-8.8674509e-08;
1.1837671e-05;-8.8807026e-08;
1.2031731e-05;-8.817246e-08;
1.2225791e-05;-8.7873564e-08;
1.2419852e-05;-8.7718788e-08;
1.2613912e-05;-8.7203427e-08;
1.2807972e-05;-8.7034404e-08;
1.3002032e-05;-8.7516308e-08;
1.3196092e-05;-8.7613232e-08;
1.3390152e-05;-8.7646935e-08;
1.3584213e-05;-8.6979838e-08;
1.3778273e-05;-8.6021711e-08;
1.3972333e-05;-7.6740677e-08;
1.4166393e-05;-1.5069034e-08;
1.4360453e-05;6.3583947e-09;
1.4554514e-05;4.7869445e-09;
1.4748574e-05;4.0031418e-09;
1.4942634e-05;3.3541319e-09;
