Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;
[m];[m];[m];[m];[m];[m];
0;-1.469648e-09;0;-2.1826958e-09;0;-1.5049382e-09;
1.9742881e-08;-1.8996947e-09;1.9930964e-08;-2.5215071e-09;1.9279765e-08;-1.9475913e-09;
3.9485762e-08;-2.2822866e-09;3.9861928e-08;-3.5946296e-09;3.855953e-08;-3.2265178e-09;
5.9228644e-08;-3.5733284e-09;5.9792892e-08;-5.0980798e-09;5.7839295e-08;-4.9968919e-09;
7.8971525e-08;-5.4227683e-09;7.9723855e-08;-6.0985166e-09;7.711906e-08;-5.7786707e-09;
9.8714406e-08;-6.4821865e-09;9.9654819e-08;-6.4482769e-09;9.6398825e-08;-6.0852201e-09;
1.1845729e-07;-7.2098205e-09;1.1958578e-07;-6.9705582e-09;1.1567859e-07;-6.6217717e-09;
1.3820017e-07;-7.5739785e-09;1.3951675e-07;-7.6636054e-09;1.3495835e-07;-7.1933331e-09;
1.5794305e-07;-8.4618945e-09;1.5944771e-07;-8.0480826e-09;1.5423812e-07;-8.1968746e-09;
1.7768593e-07;-9.463311e-09;1.7937867e-07;-9.3437032e-09;1.7351788e-07;-9.2863151e-09;
1.9742881e-07;-9.6061953e-09;1.9930964e-07;-9.8981647e-09;1.9279765e-07;-9.2399161e-09;
2.1717169e-07;-9.7085923e-09;2.192406e-07;-9.8659818e-09;2.1207741e-07;-9.230626e-09;
2.3691457e-07;-9.7533234e-09;2.3917157e-07;-9.4892525e-09;2.3135718e-07;-9.7328834e-09;
2.5665746e-07;-1.0115087e-08;2.5910253e-07;-8.9469542e-09;2.5063694e-07;-1.0391196e-08;
2.7640034e-07;-9.9347334e-09;2.7903349e-07;-8.8493086e-09;2.6991671e-07;-1.0703108e-08;
2.9614322e-07;-9.3285532e-09;2.9896446e-07;-9.4896155e-09;2.8919647e-07;-1.0700254e-08;
3.158861e-07;-9.9375232e-09;3.1889542e-07;-9.5298589e-09;3.0847624e-07;-1.0451593e-08;
3.3562898e-07;-1.0272771e-08;3.3882639e-07;-9.1528572e-09;3.27756e-07;-1.0420782e-08;
3.5537186e-07;-9.5617384e-09;3.5875735e-07;-8.8110642e-09;3.4703577e-07;-9.9835551e-09;
3.7511474e-07;-8.8519395e-09;3.7868831e-07;-8.8554647e-09;3.6631553e-07;-9.4601166e-09;
3.9485762e-07;-8.8998057e-09;3.9861928e-07;-9.0022936e-09;3.855953e-07;-8.2688875e-09;
4.1460051e-07;-9.0579228e-09;4.1855024e-07;-8.7239387e-09;4.0487506e-07;-6.8921294e-09;
4.3434339e-07;-7.9581055e-09;4.3848121e-07;-8.1046821e-09;4.2415483e-07;-6.7246929e-09;
4.5408627e-07;-6.7440785e-09;4.5841217e-07;-7.3674192e-09;4.4343459e-07;-5.0029516e-09;
4.7382915e-07;-5.7489735e-09;4.7834313e-07;-6.3814316e-09;4.6271436e-07;-3.2689125e-09;
4.9357203e-07;-4.3168442e-09;4.982741e-07;-4.6882339e-09;4.8199412e-07;-1.4687288e-09;
5.1331491e-07;-2.6895051e-09;5.1820506e-07;-3.1887353e-09;5.0127389e-07;-5.7837221e-10;
5.3305779e-07;-1.1996249e-09;5.3813602e-07;-2.3234708e-09;;;
5.5280067e-07;-1.0336595e-09;5.5806699e-07;-1.9843252e-09;;;
5.7254356e-07;-6.8659185e-10;5.7799795e-07;-1.5265015e-09;;;
