Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;Profile 6;Profile 6;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;-9.435275e-08;0;-6.0936378e-08;0;-7.3028229e-08;0;-1.0950913e-07;0;-6.9312362e-08;0;-4.0131982e-08;
1.9378162e-07;-1.1020057e-07;1.8928036e-07;-1.0967995e-07;1.8169151e-07;-1.0066794e-07;1.6136546e-07;-1.4975533e-07;1.6150356e-07;-1.3233232e-07;1.6669989e-07;-1.1173398e-07;
3.8756325e-07;-1.1703233e-07;3.7856072e-07;-1.2621904e-07;3.6338301e-07;-1.1831774e-07;3.2273093e-07;-1.5080041e-07;3.2300712e-07;-1.5270971e-07;3.3339978e-07;-1.5085238e-07;
5.8134487e-07;-1.1674598e-07;5.6784108e-07;-1.2668633e-07;5.4507452e-07;-1.2996936e-07;4.8409639e-07;-7.7834551e-08;4.8451068e-07;-1.2883941e-07;5.0009967e-07;-1.4882141e-07;
7.751265e-07;-1.1886386e-07;7.5712144e-07;-1.3402725e-07;7.2676602e-07;-1.2806418e-07;;;6.4601424e-07;-3.5054809e-08;6.6679956e-07;-7.1564331e-08;
9.6890812e-07;-1.1829365e-07;9.464018e-07;-1.3467848e-07;9.0845753e-07;-1.2900161e-07;;;;;;;
1.1626897e-06;-1.2060418e-07;1.1356822e-06;-1.3468123e-07;1.090149e-06;-1.2761397e-07;;;;;;;
1.3564714e-06;-1.1683132e-07;1.3249625e-06;-1.313549e-07;1.2718405e-06;-1.3225095e-07;;;;;;;
1.550253e-06;-1.2008299e-07;1.5142429e-06;-1.3551644e-07;1.453532e-06;-1.3223118e-07;;;;;;;
1.7440346e-06;-1.2188012e-07;1.7035232e-06;-1.4939971e-07;1.6352236e-06;-1.3395309e-07;;;;;;;
1.9378162e-06;-1.2779169e-07;1.8928036e-06;-1.4203865e-07;1.8169151e-06;-1.3230111e-07;;;;;;;
2.1315979e-06;-1.3640465e-07;2.082084e-06;-1.3278735e-07;1.9986066e-06;-1.3156543e-07;;;;;;;
2.3253795e-06;-1.3097102e-07;2.2713643e-06;-1.296031e-07;2.1802981e-06;-1.2764672e-07;;;;;;;
2.5191611e-06;-1.3524348e-07;2.4606447e-06;-1.2994065e-07;2.3619896e-06;-1.2503062e-07;;;;;;;
2.7129427e-06;-1.2963938e-07;2.649925e-06;-1.2483852e-07;2.5436811e-06;-1.222073e-07;;;;;;;
2.9067244e-06;-9.7760478e-08;2.8392054e-06;-9.970322e-08;2.7253726e-06;-8.3415368e-08;;;;;;;
3.100506e-06;-3.6626359e-08;3.0284858e-06;-3.6215484e-08;2.9070641e-06;-3.7244999e-08;;;;;;;
