Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;
[m];[m];[m];[m];[m];[m];[m];[m];
0;-1.4555901e-08;0;-1.4735536e-08;0;-2.5666112e-08;0;-1.4545574e-08;
1.2033362e-08;-1.6485355e-08;1.2177514e-08;-1.5760755e-08;1.209518e-08;-2.6787146e-08;1.2068126e-08;-1.6038336e-08;
2.4066725e-08;-1.7877427e-08;2.4355029e-08;-1.6804191e-08;2.419036e-08;-2.6961227e-08;2.4136252e-08;-1.7160253e-08;
3.6100087e-08;-1.9461167e-08;3.6532543e-08;-1.8178353e-08;3.628554e-08;-2.7923024e-08;3.6204378e-08;-1.8812522e-08;
4.8133449e-08;-2.1657896e-08;4.8710058e-08;-1.9739952e-08;4.838072e-08;-2.9446639e-08;4.8272505e-08;-2.084328e-08;
6.0166812e-08;-2.2791692e-08;6.0887572e-08;-2.0198162e-08;6.04759e-08;-2.9326786e-08;6.0340631e-08;-2.2918418e-08;
7.2200174e-08;-2.3139415e-08;7.3065087e-08;-2.0990092e-08;7.257108e-08;-2.9838647e-08;7.2408757e-08;-2.4407301e-08;
8.4233536e-08;-2.3057378e-08;8.5242601e-08;-2.2231482e-08;8.466626e-08;-3.0554702e-08;8.4476883e-08;-2.6144215e-08;
9.6266899e-08;-2.3852652e-08;9.7420116e-08;-2.3887229e-08;9.676144e-08;-3.0782304e-08;9.6545009e-08;-2.7373938e-08;
1.0830026e-07;-2.5403101e-08;1.0959763e-07;-2.4557684e-08;1.0885662e-07;-3.1435878e-08;1.0861314e-07;-2.8509271e-08;
1.2033362e-07;-2.6339795e-08;1.2177514e-07;-2.5248847e-08;1.209518e-07;-3.2297066e-08;1.2068126e-07;-2.8885686e-08;
1.3236699e-07;-2.7756525e-08;1.3395266e-07;-2.6303837e-08;1.3304698e-07;-3.19591e-08;1.3274939e-07;-2.9439059e-08;
1.4440035e-07;-2.7682342e-08;1.4613017e-07;-2.76321e-08;1.4514216e-07;-3.185947e-08;1.4481751e-07;-3.0587795e-08;
1.5643371e-07;-2.7836166e-08;1.5830769e-07;-2.7988698e-08;1.5723734e-07;-3.2918099e-08;1.5688564e-07;-3.1197472e-08;
1.6846707e-07;-2.8842027e-08;1.704852e-07;-2.8560073e-08;1.6933252e-07;-3.2163391e-08;1.6895377e-07;-3.1864698e-08;
1.8050043e-07;-2.9428436e-08;1.8266272e-07;-2.8809775e-08;1.814277e-07;-3.2819543e-08;1.8102189e-07;-3.2694138e-08;
1.925338e-07;-2.9781966e-08;1.9484023e-07;-2.8062067e-08;1.9352288e-07;-3.4018609e-08;1.9309002e-07;-3.2966013e-08;
2.0456716e-07;-3.0856207e-08;2.0701775e-07;-2.9879101e-08;2.0561806e-07;-3.3752922e-08;2.0515814e-07;-3.2453378e-08;
2.1660052e-07;-3.199721e-08;2.1919526e-07;-3.0604442e-08;2.1771324e-07;-3.4262003e-08;2.1722627e-07;-3.2286424e-08;
2.2863388e-07;-3.248197e-08;2.3137277e-07;-2.9523288e-08;2.2980842e-07;-3.5701354e-08;2.292944e-07;-3.2137714e-08;
