Profile 1;Profile 1
x;y
[m];[N]
0;-7.5e-07
0.00520969;-7,38E+00
0.01041938;-7,39E+00
0.01562907;-7,27E+00
0.02083876;-7,16E+00
0.02604845;-7,16E+00
0.03125814;-7,50E+00
0.03646783;-7,06E+00
0.04167752;-7,06E+00
0.04688721;-7,39E+00
0.0520969;-7,40E+00
0.05730659;-7,29E+00
0.06251628;-7,27E-01
0.06772597;-7,17E+00
0.07293566;-7,30E+00
0.07814535;-7,29E+00
0.08335504;-7,08E+00
0.08856473;-7,28E+00
0.09377442;-7,31E+00
0.09898411;-7,27E-01
0.1041938;-7,51E+00
0.10940349;-7,19E+00
0.11461318;-7,31E+00
0.11982287;-7.5e-07
0.12503256;-7,10E+00
0.13024225;-7,30E+00
0.13545194;-7,20E+00
0.14066163;-7,30E+00
0.14587132;-7,22E+00
0.15108101;-7,21E+00
0.1562907;-7,38E+00
0.16150039;-7,31E+00
0.16671008;-7,23E+00
0.17191977;-7,31E+00
0.17712946;-7,52E+00
0.18233915;-7,29E+00
0.18754884;-7,43E+00
0.19275853;-7,24E+00
0.19796822;-7,37E+00
0.20317791;-7,44E+00
0.2083876;-7,29E+00
0.21359729;-7,44E+00
0.21880698;-7,44E+00
0.22401667;-7,35E+00
0.22922636;-7,41E+00
0.23443605;-7,41E+00
0.23964574;-7,33E+00
0.24485543;-7.5e-07
0.25006512;-7,44E+00
0.25527481;-7,42E-01
0.2604845;-7,53E+00
0.26569419;-7,33E+00
0.27090388;-7.5e-07
0.27611357;-7,21E+00
0.28132326;-7,26E+00
0.28653295;-7,33E+00
0.29174264;-7.5e-07
0.29695233;-7,38E-01
0.30216202;-7,38E+00
0.30737171;-7,58E+00
0.3125814;-7,31E+00
0.31779109;-7,35E+00
0.32300078;-7,35E+00
0.32821047;-7,51E+00
0.33342016;-7,35E+00
0.33862985;-7,32E+00
0.34383954;-7,35E+00
0.34904923;-7,38E+00
0.35425892;-7,33E+00
0.35946861;-7,34E+00
0.3646783;-7,52E+00
0.36988799;-7,31E+00
0.37509768;-7,43E+00
0.38030737;-7,43E+00
0.38551706;-7,32E+00
0.39072675;-7,40E+00
0.39593644;-7,27E-01
0.40114613;-7,41E+00
0.40635582;-7,21E+00
0.41156551;-7,37E+00
0.4167752;-7,43E+00
0.42198489;-7,19E+00
0.42719458;-7,49E+00
0.43240427;-7,37E-01
0.43761396;-7,26E+00
0.44282365;-7,27E-01
0.44803334;-7,44E+00
0.45324303;-7,44E+00
0.45845272;-7,32E+00
0.46366241;-7,39E+00
0.4688721;-7,63E+00
0.47408179;-7,21E+00
0.47929148;-7,27E+00
0.48450117;-7,40E+00
0.48971086;-7,46E+00
0.49492055;-7,27E-01
0.50013024;-7,34E+00
0.50533993;-7,40E-01
0.51054962;-7,46E+00
0.51575931;-7,40E+00
0.520969;-7,57E+00
0.52617869;-7,54E+00
0.53138838;-7,40E+00
0.53659807;-7,38E+00
0.54180776;-7,48E+00
0.54701745;-7,55E+00
0.55222714;-7,31E-01
0.55743683;-7,38E+00
0.56264652;-7,42E+00
0.56785621;-7,44E+00
0.5730659;-7,30E+00
0.57827559;-7,41E+00
0.58348528;-7,42E+00
0.58869497;-7,38E+00
0.59390466;-7,65E+00
0.59911435;-7,69E+00
0.60432404;-7,77E+00
0.60953373;-7,46E+00
0.61474342;-7,43E+00
0.61995311;-7,39E-01
0.6251628;-7,51E+00
0.63037249;-7,55E+00
0.63558218;-7,43E-01
0.64079187;-7,55E+00
0.64600156;-7,58E+00
0.65121125;-7,77E+00
0.65642094;-7,57E+00
0.66163063;-7,66E+00
0.66684032;-7,41E+00
0.67205001;-7,53E+00
0.6772597;-7,44E-01
0.68246939;-7,35E+00
0.68767908;-7,44E+00
0.69288877;-7,68E+00
0.69809846;-7,47E+00
0.70330815;-7.5e-07
0.70851784;-7,45E+00
0.71372753;-7,54E+00
0.71893722;-7,45E-01
0.72414691;-7,50E+00
0.7293566;-7,43E+00
0.73456629;-7,55E+00
0.73977598;-7,60E+00
0.74498567;-7,46E+00
0.75019536;-7,36E+00
0.75540505;-7,71E+00
0.76061474;-8,65E+00
0.76582443;-8,58E+00
0.77103412;-8,34E-01
0.77624381;-7,85E+00
0.7814535;-8,01E+00
0.78666319;-1,35E+01
0.79187288;-1,19E+01
0.79708257;-1,06E+01
0.80229226;-9,31E+00
0.80750195;-7,89E+00
0.81271164;-6,47E+00
